Planet_Radius,Planet_Mass,Orbital_Period,Semi_Major_Axis,Equilibrium_Temp,Planet_Density,Stellar_Temp,Stellar_Luminosity,Stellar_Metallicity,StarType_A,StarType_F,StarType_G,StarType_K,StarType_M,Habitability_Score,Predicted_Class,Rank
2.759,6.63,9.15059,0.0814,827.8,1.73,5320.0,0.5190031574907782,-0.02,False,False,False,True,False,0.99999046,1,1
2.75,10.6,9.428089,0.083,794.0,2.9,5230.0,0.4499973953258031,0.03,False,False,False,True,False,0.99999046,1,2
3.12,11.84,16.608164,0.1116,499.0,2.14,4227.0,0.2714344707869742,-0.1,False,False,False,True,False,0.99999,1,3
2.7438269,16.0,22.411880912500003,0.151,528.67,4.24,5165.0,0.4240040452115673,0.124,False,False,False,True,False,0.9999895,1,4
2.85,12.4,7.3744897,0.0662,694.0,2.9,4491.0,0.2714344707869742,-0.01,False,False,False,True,False,0.9999894,1,5
2.363,10.3,22.411880912500003,0.1516,525.0,4.3,4796.0,0.9412608599916936,-0.082,False,False,False,True,False,0.9999888,1,6
2.66146528,10.6,9.61419,0.085,759.0,3.05,5457.0,0.5710051168082259,-0.079,False,False,False,True,False,0.9999887,1,7
2.592,15.9,13.86375,0.10207,638.0,5.02,5010.0,0.9412608599916936,-0.34,False,False,False,True,False,0.99998796,1,8
2.62,23.5,22.411880912500003,0.1674649999999999,469.0,6.8187500000000005,4869.0,0.9412608599916936,-0.09,False,False,False,True,False,0.99998796,1,9
2.41,14.9,22.411880912500003,0.1674649999999999,470.0,5.8,5368.0,0.9412608599916936,-0.08,False,False,False,True,False,0.99998796,1,10
2.615,13.33,22.411880912500003,0.1587,600.0,4.1,5599.0,0.9412608599916936,0.07,False,False,False,True,False,0.9999877,1,11
2.562,8.82,22.411880912500003,0.1674649999999999,431.0,2.878108,5664.0,1.0380063253450658,-0.24,False,False,False,True,False,0.9999876,1,12
2.54,11.32,22.411880912500003,0.1674649999999999,479.0,3.8,5666.0,0.7499978182030022,-0.27,False,False,False,True,False,0.9999875,1,13
2.047,6.9,15.665323,0.1001,420.0,4.4,3725.0,0.9412608599916936,-0.21,False,False,False,True,False,0.99998736,1,14
2.332,10.4,16.141132,0.1237,804.0,4.49,5868.0,0.9412608599916936,-0.12,False,False,False,True,False,0.99998724,1,15
2.918,7.39,22.411880912500003,0.1632,743.6,1.63,5737.0,0.9412608599916936,-0.39,False,False,True,False,False,0.99998534,1,16
2.363,4.8,15.66858,0.105,519.0,2.0,4375.0,0.2714344707869742,-0.29,False,False,False,True,False,0.99998486,1,17
2.63,24.5,16.9841,0.13,795.0,6.8187500000000005,5725.0,0.9412608599916936,0.07,False,False,True,False,False,0.9999845,1,18
0.64,0.07,10.3134,0.0753,452.0,1.7,3841.0,0.2714344707869742,-0.18,False,False,False,True,False,0.99998426,1,19
1.014,4.3,7.9752,0.0707,610.0,6.8187500000000005,4500.0,0.2714344707869742,-0.02,False,False,False,True,False,0.99998415,1,20
1.71,4.23,13.475853,0.0943,493.0,4.66,4026.0,0.2714344707869742,-0.4187499999999999,False,False,False,True,False,0.9999833,1,21
1.25,4.1,17.66484,0.101,347.0,1.42,3759.0,0.2714344707869742,-0.24,False,False,False,False,True,0.9999832,1,22
